Bisections	True	Error
1	0.02608695652173913	0.14285714285714285
2	0.043478260869565216	0.06666666666666667
3	0.008695652173913044	0.034482758620689655
4	0.008695652173913044	0.017543859649122806
5	0.0	0.008695652173913044

Falsi	True	Error
1	0.0642937315964374	1.0
2	0.020766956349733977	0.044449863624341765
3	0.005064700595028657	0.01578218781070103
4	0.0	0.005064700595028657

NewtonRaphson	True	Error
1	0.03042193692957493	0.08943089430894324
2	0.0026137093508123163	0.027735734430330415
3	0.0	0.0026137093508123163

Secant	True	Error
1	0.06661334091699071	0.09815950920245396
2	0.0799068289020965	0.1356785288301669
3	0.016898955234128137	0.0984698212372251
4	0.003981014752553509	0.012969572541195443
5	0.0	0.003981014752553509

ModSecant	True	Error
1	0.0324864330026826	0.08709330067774278
2	0.003697875106399306	0.02868249361714699
3	0.0	0.003697875106399306

