Bisections	True	Error
1	0.21951219512195122	0.3333333333333333
2	0.08943089430894309	0.14285714285714285
3	0.024390243902439025	0.06666666666666667
4	0.008130081300813009	0.03225806451612903
5	0.008130081300813009	0.01639344262295082
6	0.0	0.008130081300813009

Falsi	True	Error
1	0.020495988310826278	1.0
2	2.8826966379463825E-5	0.02046775136762735
3	0.0	2.8826966379463825E-5

NewtonRaphson	True	Error
1	8.966105205263337E-5	0.040816326530612096
2	0.0	8.966105205263337E-5

Secant	True	Error
1	0.020495983238977937	0.4687500000000001
2	0.012457307573601386	0.03254783245286
3	1.9254544245110898E-5	0.01247680235298944
4	0.0	1.9254544245110898E-5

ModSecant	True	Error
1	1.4407948486955106E-4	0.0408730483119433
2	0.0	1.4407948486955106E-4

